Magnetometer Longyearbyen
Lat: 78.20  Lon: 15.83
Quiet mean Dec: 6.9371
Quiet mean Inc: 82.7579
Quiet mean Tot: 55240.92
DD/MM/YYYY  HH:MM:SS     Dec      Horiz     Vert      Incl      Total
03/03/2025  00:00:00     6.9304    6968.5   54808.7   82.7541   55249.9
03/03/2025  00:00:10     6.9324    6968.5   54808.7   82.7541   55249.9
03/03/2025  00:00:20     6.9324    6968.3   54808.7   82.7544   55249.9
03/03/2025  00:00:30     6.9304    6968.0   54808.7   82.7546   55249.9
03/03/2025  00:00:40     6.9263    6968.0   54809.0   82.7547   55250.1
03/03/2025  00:00:50     6.9304    6968.0   54809.0   82.7547   55250.1
03/03/2025  00:01:00     6.9344    6968.0   54809.2   82.7547   55250.4
03/03/2025  00:01:10     6.9364    6967.8   54809.4   82.7550   55250.6
03/03/2025  00:01:20     6.9363    6967.5   54809.4   82.7553   55250.5
03/03/2025  00:01:30     6.9383    6966.8   54809.4   82.7560   55250.4
03/03/2025  00:01:40     6.9403    6966.6   54809.2   82.7562   55250.2
03/03/2025  00:01:50     6.9403    6966.6   54809.4   82.7563   55250.4
03/03/2025  00:02:00     6.9362    6966.3   54809.7   82.7565   55250.6
03/03/2025  00:02:10     6.9382    6965.6   54809.4   82.7573   55250.3
03/03/2025  00:02:20     6.9382    6965.6   54809.0   82.7572   55249.8
03/03/2025  00:02:30     6.9422    6965.3   54809.4   82.7575   55250.3
03/03/2025  00:02:40     6.9401    6965.1   54809.2   82.7577   55250.0
03/03/2025  00:02:50     6.9402    6965.6   54809.4   82.7573   55250.3
03/03/2025  00:03:00     6.9362    6965.8   54809.0   82.7569   55249.8
03/03/2025  00:03:10     6.9362    6966.1   54809.0   82.7567   55249.9
03/03/2025  00:03:20     6.9402    6965.8   54808.7   82.7569   55249.6
03/03/2025  00:03:30     6.9422    6966.1   54808.7   82.7567   55249.6
03/03/2025  00:03:40     6.9443    6966.3   54808.5   82.7564   55249.4
03/03/2025  00:03:50     6.9443    6967.0   54808.5   82.7556   55249.5
03/03/2025  00:04:00     6.9443    6967.3   54808.2   82.7554   55249.3
03/03/2025  00:04:10     6.9444    6967.5   54808.2   82.7551   55249.3
03/03/2025  00:04:20     6.9424    6967.8   54808.0   82.7548   55249.1
03/03/2025  00:04:30     6.9424    6968.3   54808.0   82.7543   55249.2
03/03/2025  00:04:40     6.9425    6968.8   54807.7   82.7538   55249.0
03/03/2025  00:04:50     6.9425    6969.2   54807.2   82.7532   55248.6
03/03/2025  00:05:00     6.9425    6969.0   54806.8   82.7534   55248.1
03/03/2025  00:05:10     6.9385    6968.8   54806.5   82.7536   55247.8
03/03/2025  00:05:20     6.9405    6968.8   54805.8   82.7535   55247.1
03/03/2025  00:05:30     6.9365    6968.8   54805.1   82.7534   55246.3
03/03/2025  00:05:40     6.9324    6968.5   54804.3   82.7536   55245.6
03/03/2025  00:05:50     6.9264    6968.5   54803.6   82.7535   55244.9
03/03/2025  00:06:00     6.9184    6968.5   54803.1   82.7534   55244.4
03/03/2025  00:06:10     6.9144    6968.5   54802.4   82.7533   55243.6
03/03/2025  00:06:20     6.9104    6968.8   54801.6   82.7529   55242.9
03/03/2025  00:06:30     6.9063    6968.8   54801.1   82.7529   55242.5
03/03/2025  00:06:40     6.9003    6968.3   54800.4   82.7533   55241.7
03/03/2025  00:06:50     6.8922    6968.3   54799.7   82.7532   55241.0
03/03/2025  00:07:00     6.8882    6967.9   54799.2   82.7536   55240.4
03/03/2025  00:07:10     6.8802    6967.9   54798.5   82.7535   55239.7
