Magnetometer Ny Alesund
Lat: 78.92  Lon: 11.93
Quiet mean Dec: 9.9739
Quiet mean Inc: 82.6795
Quiet mean Tot: 55128.25
DD/MM/YYYY  HH:MM:SS     Dec      Horiz     Vert      Incl      Total
03/03/2025  00:00:00     9.9323    7030.9   54686.8   82.6739   55136.9
03/03/2025  00:00:10     9.9303    7030.9   54686.8   82.6739   55136.9
03/03/2025  00:00:20     9.9283    7030.9   54686.8   82.6739   55136.9
03/03/2025  00:00:30     9.9243    7030.9   54686.6   82.6739   55136.7
03/03/2025  00:00:40     9.9222    7031.1   54686.8   82.6737   55137.0
03/03/2025  00:00:50     9.9222    7031.3   54687.3   82.6735   55137.5
03/03/2025  00:01:00     9.9202    7031.3   54687.6   82.6735   55137.7
03/03/2025  00:01:10     9.9181    7031.6   54687.8   82.6733   55138.0
03/03/2025  00:01:20     9.9180    7031.8   54688.3   82.6731   55138.5
03/03/2025  00:01:30     9.9161    7031.6   54688.3   82.6734   55138.5
03/03/2025  00:01:40     9.9161    7031.6   54688.8   82.6734   55139.0
03/03/2025  00:01:50     9.9141    7031.6   54688.8   82.6735   55139.0
03/03/2025  00:02:00     9.9122    7031.3   54688.8   82.6737   55138.9
03/03/2025  00:02:10     9.9103    7031.0   54689.0   82.6740   55139.1
03/03/2025  00:02:20     9.9123    7031.1   54688.8   82.6740   55138.9
03/03/2025  00:02:30     9.9124    7030.8   54689.0   82.6742   55139.1
03/03/2025  00:02:40     9.9103    7031.0   54688.8   82.6740   55138.9
03/03/2025  00:02:50     9.9084    7030.8   54688.3   82.6742   55138.4
03/03/2025  00:03:00     9.9105    7030.6   54688.1   82.6744   55138.1
03/03/2025  00:03:10     9.9104    7030.8   54688.1   82.6741   55138.1
03/03/2025  00:03:20     9.9123    7031.1   54688.1   82.6739   55138.2
03/03/2025  00:03:30     9.9143    7031.1   54688.3   82.6739   55138.4
03/03/2025  00:03:40     9.9142    7031.3   54688.3   82.6736   55138.5
03/03/2025  00:03:50     9.9141    7031.6   54688.5   82.6734   55138.7
03/03/2025  00:04:00     9.9120    7032.0   54688.5   82.6729   55138.8
03/03/2025  00:04:10     9.9119    7032.3   54688.8   82.6727   55139.1
03/03/2025  00:04:20     9.9138    7032.5   54688.5   82.6724   55138.8
03/03/2025  00:04:30     9.9138    7032.5   54688.5   82.6724   55138.8
03/03/2025  00:04:40     9.9158    7032.5   54688.3   82.6724   55138.6
03/03/2025  00:04:50     9.9178    7032.5   54688.1   82.6723   55138.4
03/03/2025  00:05:00     9.9197    7032.8   54687.8   82.6720   55138.2
03/03/2025  00:05:10     9.9218    7032.6   54687.6   82.6722   55137.9
03/03/2025  00:05:20     9.9239    7032.1   54686.8   82.6726   55137.1
03/03/2025  00:05:30     9.9220    7031.8   54686.3   82.6728   55136.6
03/03/2025  00:05:40     9.9241    7031.6   54685.9   82.6730   55136.1
03/03/2025  00:05:50     9.9222    7031.3   54685.1   82.6732   55135.3
03/03/2025  00:06:00     9.9222    7031.1   54684.6   82.6734   55134.8
03/03/2025  00:06:10     9.9243    7030.9   54683.9   82.6735   55134.0
03/03/2025  00:06:20     9.9223    7030.9   54683.4   82.6735   55133.6
03/03/2025  00:06:30     9.9203    7030.8   54682.7   82.6734   55132.8
03/03/2025  00:06:40     9.9204    7030.6   54682.2   82.6736   55132.3
03/03/2025  00:06:50     9.9185    7030.4   54681.5   82.6737   55131.5
03/03/2025  00:07:00     9.9146    7030.1   54680.7   82.6739   55130.8
03/03/2025  00:07:10     9.9107    7029.6   54679.5   82.6743   55129.5
03/03/2025  00:07:20     9.9029    7029.3   54678.5   82.6744   55128.5
03/03/2025  00:07:30     9.8989    7029.3   54677.3   82.6743   55127.3
03/03/2025  00:07:40     9.8909    7029.2   54676.6   82.6742   55126.6
03/03/2025  00:07:50     9.8889    7029.2   54675.4   82.6741   55125.4
03/03/2025  00:08:00     9.8850    7029.2   54674.4   82.6739   55124.4
03/03/2025  00:08:10     9.8771    7028.9   54673.4   82.6741   55123.4
03/03/2025  00:08:20     9.8712    7028.7   54672.7   82.6743   55122.6
