Magnetometer Ny Alesund
Lat: 78.92  Lon: 11.93
Quiet mean Dec: 9.9739
Quiet mean Inc: 82.6795
Quiet mean Tot: 55128.25
DD/MM/YYYY  HH:MM:SS     Dec      Horiz     Vert      Incl      Total
04/03/2025  00:00:00     9.8961    7026.3   54690.3   82.6791   55139.8
04/03/2025  00:01:00     9.9051    7027.3   54691.4   82.6782   55141.1
04/03/2025  00:02:00     9.9102    7028.1   54692.2   82.6775   55142.0
04/03/2025  00:03:00     9.9188    7028.2   54693.9   82.6776   55143.6
04/03/2025  00:04:00     9.9223    7028.8   54695.9   82.6773   55145.7
04/03/2025  00:05:00     9.9234    7029.5   54697.4   82.6767   55147.3
04/03/2025  00:06:00     9.9269    7030.0   54698.5   82.6763   55148.4
04/03/2025  00:07:00     9.9296    7030.7   54699.2   82.6757   55149.2
04/03/2025  00:08:00     9.9321    7031.3   54699.4   82.6751   55149.5
04/03/2025  00:09:00     9.9432    7031.9   54700.9   82.6747   55151.0
04/03/2025  00:10:00     9.9470    7032.5   54701.1   82.6741   55151.3
04/03/2025  00:11:00     9.9474    7032.4   54700.6   82.6741   55150.8
04/03/2025  00:12:00     9.9500    7032.4   54700.1   82.6741   55150.3
04/03/2025  00:13:00     9.9550    7032.3   54699.1   82.6740   55149.3
04/03/2025  00:14:00     9.9653    7032.6   54697.6   82.6736   55147.9
04/03/2025  00:15:00     9.9770    7032.1   54696.8   82.6739   55147.0
04/03/2025  00:16:00     9.9887    7030.9   54697.8   82.6753   55147.8
04/03/2025  00:17:00    10.0040    7030.8   54699.2   82.6756   55149.2
04/03/2025  00:18:00    10.0066    7031.9   54699.6   82.6745   55149.7
04/03/2025  00:19:00    10.0066    7032.9   54699.4   82.6734   55149.6
04/03/2025  00:20:00    10.0070    7033.8   54698.3   82.6724   55148.7
04/03/2025  00:21:00    10.0129    7034.0   54698.3   82.6721   55148.8
04/03/2025  00:22:00    10.0291    7033.0   54699.0   82.6733   55149.3
04/03/2025  00:23:00    10.0463    7032.3   54699.8   82.6741   55150.0
04/03/2025  00:24:00    10.0597    7032.9   54699.8   82.6735   55150.1
04/03/2025  00:25:00    10.0601    7033.7   54698.9   82.6726   55149.3
04/03/2025  00:26:00    10.0566    7035.4   54698.5   82.6707   55149.1
04/03/2025  00:27:00    10.0645    7034.4   54699.3   82.6719   55149.8
04/03/2025  00:28:00    10.0717    7033.8   54700.9   82.6728   55151.2
04/03/2025  00:29:00    10.0699    7033.2   54702.0   82.6735   55152.3
04/03/2025  00:30:00    10.0694    7033.7   54703.8   82.6732   55154.1
