Magnetometer Tromso
Lat: 69.6617  Lon: 18.9400
Quiet mean Dec: 8.5995
Quiet mean Inc: 78.4534
Quiet mean Tot: 53927.27
DD/MM/YYYY  HH:MM:SS     Dec      Horiz     Vert      Incl      Total
03/03/2025  00:00:00     8.6260   10784.5   52822.8   78.4609   53912.4
03/03/2025  00:00:10     8.6253   10784.5   52822.4   78.4608   53912.0
03/03/2025  00:00:20     8.6227   10784.5   52822.3   78.4608   53911.9
03/03/2025  00:00:30     8.6201   10784.8   52822.1   78.4604   53911.8
03/03/2025  00:00:40     8.6187   10785.2   52821.6   78.4599   53911.4
03/03/2025  00:00:50     8.6167   10785.5   52821.5   78.4595   53911.4
03/03/2025  00:01:00     8.6154   10785.7   52821.4   78.4593   53911.3
03/03/2025  00:01:10     8.6140   10786.0   52821.0   78.4589   53911.1
03/03/2025  00:01:20     8.6128   10786.0   52820.8   78.4589   53910.8
03/03/2025  00:01:30     8.6101   10786.2   52820.6   78.4586   53910.7
03/03/2025  00:01:40     8.6094   10786.4   52820.6   78.4584   53910.7
03/03/2025  00:01:50     8.6095   10786.3   52820.5   78.4585   53910.6
03/03/2025  00:02:00     8.6095   10786.1   52820.3   78.4587   53910.3
03/03/2025  00:02:10     8.6109   10785.7   52820.0   78.4590   53909.9
03/03/2025  00:02:20     8.6116   10785.2   52820.1   78.4595   53910.0
03/03/2025  00:02:30     8.6123   10784.4   52819.9   78.4603   53909.6
03/03/2025  00:02:40     8.6137   10784.0   52819.7   78.4607   53909.3
03/03/2025  00:02:50     8.6138   10783.3   52819.7   78.4615   53909.2
03/03/2025  00:03:00     8.6133   10782.6   52819.9   78.4623   53909.2
03/03/2025  00:03:10     8.6127   10781.9   52819.8   78.4629   53909.0
03/03/2025  00:03:20     8.6121   10781.6   52819.6   78.4632   53908.7
03/03/2025  00:03:30     8.6134   10781.4   52819.6   78.4634   53908.7
03/03/2025  00:03:40     8.6148   10781.0   52819.6   78.4638   53908.6
03/03/2025  00:03:50     8.6148   10780.7   52819.5   78.4641   53908.5
03/03/2025  00:04:00     8.6149   10780.2   52819.8   78.4647   53908.6
03/03/2025  00:04:10     8.6156   10779.8   52819.8   78.4651   53908.6
03/03/2025  00:04:20     8.6163   10779.8   52819.7   78.4651   53908.5
03/03/2025  00:04:30     8.6157   10779.4   52819.8   78.4655   53908.5
03/03/2025  00:04:40     8.6157   10779.4   52819.7   78.4655   53908.4
03/03/2025  00:04:50     8.6163   10779.7   52819.7   78.4652   53908.5
03/03/2025  00:05:00     8.6169   10779.6   52819.8   78.4654   53908.5
03/03/2025  00:05:10     8.6170   10779.3   52819.8   78.4656   53908.5
03/03/2025  00:05:20     8.6157   10779.5   52819.9   78.4655   53908.6
03/03/2025  00:05:30     8.6137   10779.2   52820.0   78.4658   53908.6
03/03/2025  00:05:40     8.6151   10779.0   52820.1   78.4660   53908.7
03/03/2025  00:05:50     8.6164   10778.7   52820.4   78.4664   53909.0
03/03/2025  00:06:00     8.6152   10778.0   52820.5   78.4672   53908.9
03/03/2025  00:06:10     8.6146   10777.6   52820.8   78.4676   53909.1
03/03/2025  00:06:20     8.6154   10777.1   52821.0   78.4682   53909.2
