Magnetometer Tromso
Lat: 69.6617  Lon: 18.9400
Quiet mean Dec: 8.5995
Quiet mean Inc: 78.4534
Quiet mean Tot: 53927.27
DD/MM/YYYY  HH:MM:SS     Dec      Horiz     Vert      Incl      Total
04/03/2025  00:00:00     8.6882   10772.0   52815.8   78.4724   53903.1
04/03/2025  00:01:00     8.6952   10768.7   52816.2   78.4759   53902.8
04/03/2025  00:02:00     8.6896   10767.6   52816.9   78.4772   53903.3
04/03/2025  00:03:00     8.6898   10767.7   52816.9   78.4771   53903.3
04/03/2025  00:04:00     8.6845   10767.9   52816.8   78.4768   53903.2
04/03/2025  00:05:00     8.6825   10768.5   52816.4   78.4761   53903.0
04/03/2025  00:06:00     8.6840   10769.5   52815.5   78.4750   53902.3
04/03/2025  00:07:00     8.6861   10769.0   52815.0   78.4754   53901.7
04/03/2025  00:08:00     8.6870   10768.7   52814.8   78.4756   53901.5
04/03/2025  00:09:00     8.6900   10769.3   52814.4   78.4749   53901.2
04/03/2025  00:10:00     8.6937   10769.9   52814.2   78.4742   53901.1
04/03/2025  00:11:00     8.6963   10771.1   52813.9   78.4730   53901.1
04/03/2025  00:12:00     8.6950   10771.6   52814.5   78.4726   53901.7
04/03/2025  00:13:00     8.6943   10771.8   52815.3   78.4725   53902.5
04/03/2025  00:14:00     8.6946   10771.7   52815.8   78.4728   53903.1
04/03/2025  00:15:00     8.6906   10772.0   52816.8   78.4726   53904.0
04/03/2025  00:16:00     8.6830   10774.6   52816.9   78.4699   53904.7
04/03/2025  00:17:00     8.6794   10777.1   52816.2   78.4672   53904.5
04/03/2025  00:18:00     8.6764   10776.5   52815.4   78.4676   53903.6
04/03/2025  00:19:00     8.6740   10776.4   52814.2   78.4675   53902.4
04/03/2025  00:20:00     8.6711   10776.2   52813.2   78.4675   53901.4
04/03/2025  00:21:00     8.6697   10774.9   52812.8   78.4687   53900.8
04/03/2025  00:22:00     8.6641   10774.5   52812.7   78.4691   53900.5
04/03/2025  00:23:00     8.6543   10778.4   52812.5   78.4650   53901.1
04/03/2025  00:24:00     8.6489   10780.4   52812.2   78.4628   53901.3
04/03/2025  00:25:00     8.6538   10780.1   52812.0   78.4631   53901.0
04/03/2025  00:26:00     8.6582   10777.8   52812.0   78.4656   53900.6
04/03/2025  00:27:00     8.6572   10778.8   52812.2   78.4646   53901.0
04/03/2025  00:28:00     8.6576   10781.1   52812.5   78.4622   53901.7
04/03/2025  00:29:00     8.6547   10780.5   52812.4   78.4628   53901.5
04/03/2025  00:30:00     8.6493   10780.9   52812.7   78.4625   53901.9
04/03/2025  00:31:00     8.6505   10781.0   52812.9   78.4624   53902.0
04/03/2025  00:32:00     8.6547   10779.3   52813.5   78.4643   53902.3
04/03/2025  00:33:00     8.6529   10779.0   52814.4   78.4648   53903.1
04/03/2025  00:34:00     8.6543   10780.6   52814.8   78.4632   53903.8
04/03/2025  00:35:00     8.6526   10781.5   52815.0   78.4624   53904.2
04/03/2025  00:36:00     8.6490   10782.3   52815.5   78.4616   53904.9
04/03/2025  00:37:00     8.6441   10786.8   52815.1   78.4568   53905.4
04/03/2025  00:38:00     8.6413   10788.6   52814.0   78.4547   53904.7
04/03/2025  00:39:00     8.6489   10786.8   52813.7   78.4566   53904.0
